	eCO2-1	eCO2-2	eCO2-3	eCO2-4	eCO2-5	eCO2-6	Abundance	Type	phylum	class	order	family	genus	species	
PASV67	0.001769424	0.00290972	0.003853413	0.001848065	0.002870399	0.001533501	0.002464087	phoD	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__Lysobacter_antibioticus	
PASV57	0.003145643	0.002398553	0.003027682	0.006016043	0.000983014	0.001100975	0.002778652	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV112	0.002044668	0.002477194	0.00220195	0.001376219	0.001218937	0.003696131	0.002169183	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV76	0.002437874	0.001297578	0.003027682	0.00220195	0.002831079	0.004679144	0.002745885	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV64	0.002516515	0.003184964	0.002988361	0.001258257	0.002359232	0.002988361	0.002549282	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_medicae	
PASV218	0.004993709	0.003342246	0.003067002	0.005308273	0.004757785	0.002870399	0.004056569	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_meliloti	
PASV72	0.001572822	0.002123309	0.002949041	0.001966027	0.001179616	0.002280591	0.002011901	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV102	0.00145486	0.002280591	0.00074709	0.001651463	0.004521862	0.005622837	0.002713117	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV92	0.002319912	0.00070777	0.002595156	0.003774772	0.002241271	0.002516515	0.002359233	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV66	0.002005348	0.002005348	0.001651463	0.001415539	0.001336898	0.000825731	0.001540055	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV88	0.001376219	0.002359232	0.002516515	0.002123309	0.001966027	0.001887386	0.002038115	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Afipia	s__Afipia_sp._GAS231	
PASV53	0	0.004167977	0.005308273	0.005426235	0.004718465	0	0.003270158	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__Mesorhizobium_sp._B7	
PASV157	0.003735451	0.005150991	0.003814092	0.00361749	0.002555835	0.003381567	0.003709238	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer_adhaerens	
PASV96	0.002516515	0.000904372	0.001572822	0.000943693	0.001533501	0.005937402	0.002234718	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV170	0.002595156	0.00216263	0.003027682	0.001848065	0.001494181	0.003145643	0.002378893	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV75	0.001887386	0.002319912	0.003774772	0.001690783	0.001376219	0.000983014	0.002005348	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV135	0.002831079	0.002791758	0.003027682	0.003932054	0.003263605	0.001887386	0.002955594	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__Mesorhizobium_sp._WSM1497	
PASV176	0.001651463	0.002791758	0.002280591	0.002398553	0.002005348	0.001612142	0.002123309	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV139	0.002123309	0.001848065	0.002673797	0.00145486	0.00220195	0.002988361	0.002215057	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_lablabi	
PASV252	0.00290972	0.003971375	0.002398553	0.002713117	0.004246618	0.002595156	0.00313909	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_meliloti	
PASV71	0.000550488	0.001808745	0.00220195	0.002083989	0.002280591	0.001415539	0.00172355	phoD	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__unclassified_o__Burkholderiales	g__Rhizobacter	s__Rhizobacter_gummiphilus	
PASV149	0.002713117	0.001100975	0.001612142	0.00074709	0.002044668	0.00220195	0.001736657	phoD	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia	s__Burkholderia_cepacia	
PASV190	0.000943693	0.003499528	0.002319912	0.002831079	0.00290972	0.001730104	0.002372339	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV374	0.001730104	0.001140296	0.001218937	0.003184964	0.001494181	0.001218937	0.00166457	phoD	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__unclassified_o__Burkholderiales	g__Rhizobacter	s__Rhizobacter_gummiphilus	
PASV165	0.003302925	0.003814092	0.004246618	0	0.003892734	0	0.002542728	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_meliloti	
PASV207	0.002988361	0.001100975	0.001887386	0.002595156	0.002437874	0.002083989	0.00218229	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV95	0.001494181	0.001769424	0.001651463	0.002241271	0.002595156	0	0.001625249	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV133	0.002398553	0.002398553	0.001690783	0.002083989	0.003067002	0.001848065	0.002247824	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Labrenzia	s__Labrenzia_sp._VG12	
PASV119	0.001690783	0.001612142	0.002634476	0.002437874	0.001769424	0.001100975	0.001874279	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV151	0.00220195	0.003460208	0.002437874	0.002044668	0.001572822	0.001887386	0.002267485	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV5568	0.002437874	0	0	0	0	0	0.000406312	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV115	0.002005348	0.001258257	0.002359232	0.001336898	0.000904372	0.002241271	0.00168423	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV77	0.001140296	0.00145486	0.001376219	0.001494181	0.001572822	0.001100975	0.001356559	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV180	0.002083989	0.000471846	0.000983014	0.002123309	0.00145486	0.000943693	0.001343452	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV132	0.00145486	0.001769424	0.002398553	0.001730104	0.001297578	0.002319912	0.001828405	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_erythrophlei	
PASV146	0.001769424	0.001179616	0.001612142	0.002477194	0.001887386	0.001336898	0.001710443	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV284	0.002516515	0.001022334	0.001140296	0.002044668	0.00220195	0.002044668	0.001828405	phoD	p__Actinobacteria_d__Bacteria	c__Actinobacteria_p__Actinobacteria	o__Glycomycetales	f__Glycomycetaceae	g__Stackebrandtia	s__Stackebrandtia_nassauensis	
PASV94	0.001612142	0.00070777	0.001336898	0.001887386	0.001258257	0.002241271	0.001507287	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV155	0.001415539	0.001612142	0.000904372	0.001218937	0.00216263	0.001218937	0.001422093	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV208	0.001651463	0.002870399	0.002005348	0.000983014	0.001730104	0.001100975	0.001723551	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV120	0.001651463	0.001730104	0.001612142	0.000865052	0.001572822	0.001022334	0.001408986	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV344	0.001572822	0.001494181	0.001297578	0.002005348	0.002044668	0.002437874	0.001808745	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV136	0.001651463	0.002752438	0.001690783	0.002241271	0.000904372	0.000983014	0.00170389	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV140	0.002831079	0.00216263	0	0.003538849	0.002870399	0.000983014	0.002064329	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV614	0	0.000825731	0.001297578	0.001258257	0.000511167	0	0.000648789	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV324	0.001651463	0.002398553	0.002398553	0.003381567	0.003302925	0.001572822	0.002450981	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_meliloti	
