,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,Abundance,Type,phylum,class,order,family,genus,species
PASV56,0.003892734,0.00511167,0.003971375,0.00511167,0.006684492,0.004954388,0.004954388,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV36,0.005465555,0.004836427,0.007706826,0.006251966,0.003420887,0.003774772,0.005242739,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_icense
PASV93,0.00220195,0.004954388,0.003578169,0.007746147,0.00652721,0.006448569,0.005242739,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV34,0.00581944,0.003853413,0.003696131,0.00365681,0.002634476,0.00436458,0.004004142,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_stutzeri
PASV50,0.004285939,0.003184964,0.00652721,0.004521862,0.003302925,0.003499528,0.004220405,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._SK17
PASV111,0.002083989,0.005386914,0.005544196,0.004757785,0.002437874,0.004639824,0.004141764,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV58,0.003263605,0.003342246,0.003892734,0.004757785,0.002988361,0.004128657,0.003728898,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_soil_bacterium
PASV74,0.002791758,0.00220195,0.003774772,0.00361749,0.004915068,0.003892734,0.003532295,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV52,0.004207298,0.003696131,0.004128657,0.004718465,0.004010695,0.002673797,0.003905841,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_amorphae
PASV100,0.002123309,0.00432526,0.010734508,0.004285939,0.001887386,0.00290972,0.004377687,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_icense
PASV48,0.004757785,0.004167977,0.003420887,0.003971375,0.003342246,0.004639824,0.004050016,phoD,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__Rhizobacter,s__Rhizobacter_gummiphilus
PASV73,0.002516515,0.007785467,0.00290972,0.002752438,0.006134004,0.003145643,0.004207298,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_erythrophlei
PASV69,0.002752438,0.006134004,0.001926707,0.004993709,0.003735451,0.004285939,0.003971375,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV81,0.002437874,0.004836427,0.003027682,0.004443221,0.004797106,0.004050016,0.003932054,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV153,0.001572822,0.003027682,0.001494181,0.001179616,0.000825731,0.002359232,0.001743211,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_sojae
PASV38,0.005976722,0.003578169,0.003538849,0.001887386,0.002398553,0.004167977,0.003591276,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV80,0.002319912,0.002713117,0.003814092,0.003578169,0.003578169,0.002398553,0.003067002,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Labrenzia,s__Labrenzia_sp._VG12
PASV122,0.001926707,0.003302925,0.002791758,0.003184964,0.00507235,0.007077697,0.003892734,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV99,0.002280591,0.003853413,0.004089336,0.002791758,0.003027682,0.00216263,0.003034235,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._CCGE-LA001
PASV105,0.001808745,0.002831079,0.002949041,0.005465555,0.004285939,0.001926707,0.003211178,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_icense
PASV60,0.003460208,0.003971375,0.002634476,0.002123309,0.003420887,0.005033029,0.003440547,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._CCGE-LA001
PASV90,0.002713117,0.00507235,0.004561183,0,0.003263605,0.00507235,0.003447101,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV47,0.004521862,0.002319912,0.002437874,0.003067002,0.00361749,0.003145643,0.003184964,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV67,0.002988361,0.002791758,0.002634476,0.004050016,0.005033029,0.00216263,0.003276712,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__Lysobacter_antibioticus
PASV57,0.003263605,0.002870399,0.002083989,0.003184964,0.002595156,0.002949041,0.002824526,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV112,0.001651463,0.005386914,0.00290972,0.005426235,0.003184964,0.003460208,0.003669917,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV76,0.002634476,0.00290972,0.001848065,0.003342246,0.002673797,0.002516515,0.002654137,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV64,0.003027682,0.003145643,0.002280591,0.003302925,0.00220195,0.002752438,0.002785205,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_medicae
PASV218,0.001376219,0.001022334,0.001533501,0.001572822,0.00070777,0.003342246,0.001592482,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_meliloti
PASV72,0.003145643,0.002516515,0.003263605,0.003342246,0.003342246,0.003145643,0.003125983,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV102,0.002516515,0.001808745,0.001926707,0.003696131,0.002359232,0.002280591,0.00243132,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV92,0.002477194,0.003735451,0.002595156,0.001297578,0.001415539,0.004639824,0.002693457,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV66,0.003067002,0.002477194,0.00365681,0.004207298,0.002988361,0.002319912,0.00311943,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV88,0.003027682,0.003578169,0.002949041,0.00290972,0.002123309,0.002988361,0.00292938,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia_sp._GAS231
PASV53,0.00361749,0,0,0,0.002673797,0,0.001048548,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_sp._B7
PASV157,0.001179616,0.001061655,0.001140296,0.000865052,0.000983014,0.001179616,0.001068208,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_adhaerens
PASV96,0.002044668,0.001690783,0.001612142,0.003224284,0.003067002,0.00220195,0.002306805,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV170,0.001258257,0.001651463,0.002241271,0.002673797,0.002988361,0.002123309,0.002156076,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV75,0.003106323,0.00220195,0.002477194,0.002634476,0.001769424,0.002319912,0.002418213,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV135,0.001808745,0.001179616,0.001612142,0.002280591,0.000983014,0.000865052,0.00145486,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_sp._WSM1497
PASV176,0.001022334,0.003067002,0.001926707,0.00220195,0.003342246,0.002123309,0.002280591,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV139,0.002123309,0.002791758,0.001966027,0.003696131,0.003145643,0,0.002287145,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_lablabi
PASV252,0.00070777,0.001258257,0.001769424,0.000511167,0.002123309,0.00145486,0.001304131,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_meliloti
PASV71,0.002949041,0.002437874,0.001415539,0.002634476,0.001690783,0.001966027,0.00218229,phoD,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__Rhizobacter,s__Rhizobacter_gummiphilus
PASV149,0.001336898,0.002005348,0.001730104,0.003460208,0.00220195,0.002005348,0.002123309,phoD,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__Burkholderia_cepacia
PASV190,0.001376219,0.001730104,0.001179616,0.001690783,0.001297578,0.000865052,0.001356559,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV374,0.000471846,0.003067002,0.000943693,0.000904372,0.002673797,0.006684492,0.002457534,phoD,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__Rhizobacter,s__Rhizobacter_gummiphilus
PASV165,0.001572822,0,0.003814092,0.001572822,0,0,0.001159956,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_meliloti
PASV207,0.001100975,0.00074709,0.001769424,0.002673797,0.001140296,0.002083989,0.001585929,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV95,0.002555835,0.002359232,0.001612142,0.001533501,0.001376219,0.001769424,0.001867726,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV133,0.001966027,0.001258257,0.002359232,0,0.001061655,0.001140296,0.001297578,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Labrenzia,s__Labrenzia_sp._VG12
PASV119,0.002044668,0.001376219,0.001258257,0.002949041,0.001533501,0.001848065,0.001834959,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV151,0.001533501,0.001415539,0.001061655,0.002280591,0.001494181,0.001533501,0.001553161,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV5568,0,0,0,0.022255426,0.001022334,0,0.003879627,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV115,0.00220195,0.001848065,0.001690783,0.002949041,0.001533501,0.001848065,0.002011901,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV180,0.001494181,0.004482542,0.002752438,0.001140296,0.002319912,0.002831079,0.002503408,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV132,0.002123309,0.001297578,0.001218937,0.001651463,0.002044668,0.002241271,0.001762871,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_erythrophlei
PASV146,0.001376219,0.001533501,0.001848065,0.00145486,0.002319912,0.002005348,0.001756318,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV284,0.001140296,0.001808745,0.002241271,0.001572822,0.002083989,0.001808745,0.001775978,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Glycomycetales,f__Glycomycetaceae,g__Stackebrandtia,s__Stackebrandtia_nassauensis
PASV155,0.001258257,0.002988361,0.002870399,0.001769424,0.00145486,0.001572822,0.001985687,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV208,0.001179616,0.001808745,0.001494181,0.000786411,0.001966027,0.003224284,0.001743211,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV120,0.001730104,0.001258257,0.002319912,0.000904372,0.002044668,0.002359232,0.001769424,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV344,0.000786411,0.001533501,0.001730104,0.003067002,0.001572822,0.001140296,0.001638356,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV140,0.001651463,0.001690783,0,0.00216263,0,0.001848065,0.00122549,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV614,0.000432526,0.001258257,0.001612142,0.006841774,0,0.00802139,0.003027682,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV324,0.000825731,0.001100975,0,0.001218937,0.00074709,0.001612142,0.000917479,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_meliloti
PASV2373,0,0.003460208,0.003932054,0.004050016,0,0.003814092,0.002542728,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_sp._B7
PASV379,0.000471846,0.000825731,0.000589808,0.000786411,0.001022334,0.000393205,0.000681556,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_adhaerens
PASV107,0.002083989,0.002398553,0,0,0.005740799,0,0.00170389,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV237,0.001297578,0.003538849,0.001297578,0,0,0,0.001022334,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_sojae
PASV137,0.001769424,0.002713117,0.001533501,0.001926707,0.001533501,0.001651463,0.001854619,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV143,0.001769424,0.00070777,0.002241271,0.001533501,0.00220195,0.001926707,0.001730104,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV189,0.001179616,0.001848065,0,0.001533501,0.001179616,0,0.0009568,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV212,0.001415539,0.000668449,0.001494181,0.001769424,0.001494181,0.001887386,0.00145486,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV172,0.001415539,0.001769424,0.001808745,0.001966027,0.001297578,0.002123309,0.001730104,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV117,0.001887386,0.001218937,0.001179616,0,0.002634476,0.002083989,0.001500734,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__Lysobacter_antibioticus
PASV234,0.001336898,0.001218937,0.001376219,0.002241271,0.00145486,0.003224284,0.001808745,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_sp._3124.6
PASV125,0.001690783,0.00145486,0,0.000943693,0.001100975,0.001572822,0.001127189,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
